site_information,,,,,,,,,,liana_stem_density,,,,,,liana_basal_area,,,,,,environmental_factors,,,,,,,,,
site_name,site_code,plot_code,longitude,latitude,altitude,forest_type,forest_status,x,y,whole,twining,root,tendril,hook,scrambling,whole,twining,root,tendril,hook,scrambling,MAT,MAP,MSD,SOCN,SODM,ln(SODM),TSD,ln(TSD),TBA,ln(TBA)
Uryu,UR,UR_10_10,142.28,44.37,335,BC,old growth,10,10,11,2,8,1,0,0,28.41821883,2.759339367,22.0904229,3.568456555,0,0,4.497806078,1214.769996,217.8,31.22151611,67.69688889,4.215040224,30,3.401197382,17306.7735,9.758853236
Uryu,UR,UR_10_50,142.28,44.37,335,BC,old growth,10,50,2,0,2,0,0,0,1.763375956,0,1.763375956,0,0,0,4.497806078,1214.769996,217.8,31.22151611,67.69688889,4.215040224,30,3.401197382,4147.90488,8.330358638
Uryu,UR,UR_30_60,142.28,44.37,335,BC,old growth,30,60,0,0,0,0,0,0,0,0,0,0,0,0,4.497806078,1214.769996,217.8,31.22151611,67.69688889,4.215040224,46,3.828641396,20344.67531,9.920574501
Uryu,UR,UR_50_100,142.28,44.37,335,BC,old growth,50,100,6,0,2,4,0,0,13.24605418,0,6.832649862,6.413404323,0,0,4.497806078,1214.769996,217.8,31.22151611,67.69688889,4.215040224,17,2.833213344,14193.74579,9.560556709
Uryu,UR,UR_0_110,142.28,44.37,335,BC,old growth,0,110,8,1,6,1,0,0,51.53578545,3.956835947,45.46662114,2.11232836,0,0,4.497806078,1214.769996,217.8,31.22151611,67.69688889,4.215040224,35,3.555348061,10170.35817,9.227232706
Uryu,UR,UR_50_130,142.28,44.37,335,BC,old growth,50,130,7,0,7,0,0,0,45.29446186,0,45.29446186,0,0,0,4.497806078,1214.769996,217.8,31.22151611,67.69688889,4.215040224,25,3.218875825,25588.66835,10.14990489
Ashoro,AS,AS_10_0,143.51,43.32,360,DB,old growth,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5.335860229,1203.520003,62.2,24.3878955,69.832,4.246092357,44,3.784189634,12895.01121,9.464595788
Ashoro,AS,AS_50_10,143.51,43.32,360,DB,old growth,50,10,0,0,0,0,0,0,0,0,0,0,0,0,5.335860229,1203.520003,62.2,24.3878955,69.832,4.246092357,23,3.135494216,8562.50729,9.055148334
Ashoro,AS,AS_20_30,143.51,43.32,360,DB,old growth,20,30,0,0,0,0,0,0,0,0,0,0,0,0,5.335860229,1203.520003,62.2,24.3878955,69.832,4.246092357,27,3.295836866,18035.78909,9.800113346
Ashoro,AS,AS_70_50,143.51,43.32,360,DB,old growth,70,50,0,0,0,0,0,0,0,0,0,0,0,0,5.335860229,1203.520003,62.2,24.3878955,69.832,4.246092357,25,3.218875825,14182.26515,9.55974753
Ashoro,AS,AS_40_70,143.51,43.32,360,DB,old growth,40,70,0,0,0,0,0,0,0,0,0,0,0,0,5.335860229,1203.520003,62.2,24.3878955,69.832,4.246092357,16,2.772588722,9793.445839,9.189468649
Ashoro,AS,AS_10_80,143.51,43.32,360,DB,old growth,10,80,1,1,0,0,0,0,34.42839729,34.42839729,0,0,0,0,5.335860229,1203.520003,62.2,24.3878955,69.832,4.246092357,2,0.693147181,5891.993183,8.681349621
Tomakomai,TM,TM_0_0,141.57,42.71,80,DB,old growth,0,0,37,11,25,1,0,0,430.5886144,287.1312256,140.6546954,2.802693346,0,0,7.740382797,1567.830006,53.6,26.56056711,31.44066667,3.448102172,53,3.970291914,14233.76769,9.563372427
